"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
167,"WD",4254412,,,"16781","6701"
167,"WD",4254413,,,"16786","6700"
167,"WD",4254414,,,"16786","6701"
167,"WD",4254415,,,"16788","6700"
167,"WD",4254416,,,"16788","6701"
167,"WD",4254417,,,"16788","6700"
172,"WD",4253304,,,"17281","7252"
172,"WD",4253305,,,"17283","7252"
172,"WD",4253306,,,"17284","7252"
172,"WD",4253307,,,"17283","7252"
172,"WD",4253308,,,"17283","7253"
172,"WD",4253309,,,"17281","7253"
172,"WD",4253310,,,"17283","7253"
172,"WD",4253311,,,"17284","7253"
172,"WD",4253312,,,"17282","7252"
172,"WD",4253313,,,"17281","7252"
172,"WD",4253314,,,"17282","7252"
172,"WD",4253315,,,"17281","7252"
172,"WD",4253316,,,"17282","7252"
172,"WD",4253317,,,"17281","7252"
172,"WD",4253318,,,"17281","7252"
172,"WD",4253319,,,"17283","7252"
172,"WD",4253320,,,"17284","7252"
172,"WD",4253321,,,"17282","7253"
172,"WD",4253322,,,"17281","7253"
172,"WD",4253323,,,"17282","7253"
172,"WD",4253324,,,"17281","7253"
172,"WD",4253325,,,"17282","7253"
172,"WD",4253326,,,"17281","7253"
172,"WD",4253327,,,"17283","7253"
172,"WD",4253328,,,"17284","7253"
172,"WD",4253329,,,"17283","7253"
172,"WD",4253330,,,"17284","7253"
172,"WD",4253331,,,"17283","7252"
173,"WD",4253225,,,"17383","7301"
173,"WD",4253226,,,"17382","7301"
173,"WD",4253227,,,"17381","7301"
173,"WD",4253228,,,"17383","7301"
173,"WD",4253229,,,"17382","7301"
173,"WD",4253230,,,"17381","7301"
173,"WD",4253231,,,"17383","7301"
173,"WD",4253232,,,"17382","7301"
173,"WD",4253233,,,"17381","7301"
173,"WD",4253234,,,"17383","7301"
173,"WD",4253235,,,"17382","7301"
173,"WD",4253236,,,"17381","7301"
173,"WD",4253237,,,"17383","7301"
173,"WD",4253238,,,"17382","7301"
173,"WD",4253239,,,"17381","7301"
173,"WD",4253240,,,"17383","7301"
173,"WD",4253241,,,"17382","7301"
173,"WD",4253242,,,"17381","7301"
173,"WD",4253243,,,"17382","7300"
173,"WD",4253244,,,"17381","7300"
173,"WD",4253245,,,"17383","7300"
173,"WD",4253246,,,"17382","7300"
173,"WD",4253247,,,"17381","7300"
173,"WD",4253248,,,"17383","7300"
173,"WD",4253249,,,"17382","7300"
173,"WD",4253250,,,"17381","7300"
173,"WD",4253251,,,"17383","7300"
173,"WD",4253252,,,"17382","7300"
173,"WD",4253253,,,"17381","7300"
173,"WD",4253254,,,"17383","7300"
173,"WD",4253255,,,"17382","7300"
173,"WD",4253256,,,"17381","7300"
173,"WD",4253257,,,"17383","7300"
173,"WD",4253258,,,"17382","7300"
173,"WD",4253259,,,"17381","7300"
173,"WD",4253260,,,"17383","7300"
173,"WD",4253261,,,"17382","7300"
173,"WD",4253262,,,"17381","7301"
175,"WD",4253269,,,"17581","6500"
175,"WD",4253270,,,"17582","6500"
175,"WD",4253271,,,"17581","6500"
175,"WD",4253272,,,"17582","6500"
175,"WD",4253273,,,"17581","6500"
175,"WD",4253274,,,"17582","6500"
